Kruskal: er graph with V=1000, E=80249, 0.004907004 secs, 4055 edge scans, 1547835 w comps, 8110 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 7.266518039

SCFcach(K=2): er graph with V=1000, E=100209, 0.000643612 secs, 302523 edge scans, 576463 w comps, 0 uf ops, 1998 pq ops, 3761 component updates, 8544/285308 cache checks for best/worst, with MST weight 5.788929982
 Prim  : er graph with V=1000, E=100209, 0.000722582 secs, 200418 edge scans, 99210 w comps, 0 uf ops, 6530 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 5.788929982
Boruvka: er graph with V=1000, E=100209, 0.001362396 secs, 400836 edge scans, 748578 w comps, 804340 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 5.788929982
Kruskal: er graph with V=1000, E=100209, 0.006137342 secs, 4054 edge scans, 2007999 w comps, 8108 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 5.788929982

SCFcach(K=2): er graph with V=1000, E=120119, 0.000653882 secs, 340793 edge scans, 658676 w comps, 0 uf ops, 1998 pq ops, 3707 component updates, 8254/326512 cache checks for best/worst, with MST weight 4.924721523
 Prim  : er graph with V=1000, E=120119, 0.000796442 secs, 240238 edge scans, 119120 w comps, 0 uf ops, 6698 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.924721523
Boruvka: er graph with V=1000, E=120119, 0.001406054 secs, 480476 edge scans, 924064 w comps, 963556 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.924721523
Kruskal: er graph with V=1000, E=120119, 0.007643598 secs, 3568 edge scans, 2430826 w comps, 7136 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.924721523

SCFcach(K=2): er graph with V=1000, E=139917, 0.000748160 secs, 404473 edge scans, 766894 w comps, 0 uf ops, 1998 pq ops, 3419 component updates, 7732/380816 cache checks for best/worst, with MST weight 4.162900183
 Prim  : er graph with V=1000, E=139917, 0.000967370 secs, 279834 edge scans, 138918 w comps, 0 uf ops, 6845 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.162900183
Boruvka: er graph with V=1000, E=139917, 0.001835644 secs, 559668 edge scans, 1036296 w comps, 1121948 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.162900183
Kruskal: er graph with V=1000, E=139917, 0.009001058 secs, 4711 edge scans, 2805076 w comps, 9422 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 4.162900183

SCFcach(K=2): er graph with V=1000, E=159707, 0.000772408 secs, 457959 edge scans, 891031 w comps, 0 uf ops, 1998 pq ops, 3720 component updates, 8306/442632 cache checks for best/worst, with MST weight 3.606722923
 Prim  : er graph with V=1000, E=159707, 0.001053278 secs, 319414 edge scans, 158708 w comps, 0 uf ops, 6979 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.606722923
Boruvka: er graph with V=1000, E=159707, 0.002895320 secs, 798535 edge scans, 1395770 w comps, 1599710 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.606722923
Kruskal: er graph with V=1000, E=159707, 0.010357326 secs, 3659 edge scans, 3266585 w comps, 7318 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.606722923

SCFcach(K=2): er graph with V=1000, E=179499, 0.000893048 secs, 535713 edge scans, 1020205 w comps, 0 uf ops, 1998 pq ops, 3896 component updates, 8778/507112 cache checks for best/worst, with MST weight 3.220426633
 Prim  : er graph with V=1000, E=179499, 0.001144196 secs, 358998 edge scans, 178500 w comps, 0 uf ops, 7132 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.220426633
Boruvka: er graph with V=1000, E=179499, 0.002447830 secs, 717996 edge scans, 1270278 w comps, 1438596 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.220426633
Kruskal: er graph with V=1000, E=179499, 0.011701952 secs, 3275 edge scans, 3750721 w comps, 6550 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.220426633

SCFcach(K=2): er graph with V=1000, E=199503, 0.001015272 secs, 605873 edge scans, 1130562 w comps, 0 uf ops, 1998 pq ops, 3948 component updates, 8936/562256 cache checks for best/worst, with MST weight 3.035690111
 Prim  : er graph with V=1000, E=199503, 0.001233312 secs, 399006 edge scans, 198504 w comps, 0 uf ops, 7190 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.035690111
Boruvka: er graph with V=1000, E=199503, 0.003670218 secs, 997515 edge scans, 1715529 w comps, 1997656 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.035690111
Kruskal: er graph with V=1000, E=199503, 0.013097396 secs, 3697 edge scans, 4184767 w comps, 7394 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 3.035690111

SCFcach(K=2): er graph with V=1000, E=219645, 0.000876212 secs, 613429 edge scans, 1197239 w comps, 0 uf ops, 1998 pq ops, 3570 component updates, 7936/595898 cache checks for best/worst, with MST weight 2.799898105
 Prim  : er graph with V=1000, E=219645, 0.001324716 secs, 439290 edge scans, 218646 w comps, 0 uf ops, 7191 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 2.799898105
Boruvka: er graph with V=1000, E=219645, 0.002663988 secs, 878580 edge scans, 1659441 w comps, 1759722 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 2.799898105
Kruskal: er graph with V=1000, E=219645, 0.014803984 secs, 4375 edge scans, 4620747 w comps, 8750 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 2.799898105

Boruvka: ba graph with V=1000, E=1997, 0.000048782 secs, 7988 edge scans, 8012 w comps, 18416 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 303.772279014
Kruskal: ba graph with V=1000, E=1997, 0.000090008 secs, 1963 edge scans, 26181 w comps, 3926 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 303.772279014
 Prim  : ba graph with V=1000, E=1997, 0.000091922 secs, 3994 edge scans, 998 w comps, 0 uf ops, 2602 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 303.772279014
SCFcach(K=2): ba graph with V=1000, E=1997, 0.000130952 secs, 6040 edge scans, 6998 w comps, 0 uf ops, 1998 pq ops, 3544 component updates, 6786/1346 cache checks for best/worst, with MST weight 303.772279014

Boruvka: ba graph with V=1000, E=4985, 0.000121206 secs, 19940 edge scans, 29654 w comps, 42368 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 137.719887912
 Prim  : ba graph with V=1000, E=4985, 0.000136642 secs, 9970 edge scans, 3986 w comps, 0 uf ops, 3432 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 137.719887912
SCFcach(K=2): ba graph with V=1000, E=4985, 0.000182216 secs, 13824 edge scans, 23192 w comps, 0 uf ops, 1998 pq ops, 3544 component updates, 7788/8968 cache checks for best/worst, with MST weight 137.719887912
Kruskal: ba graph with V=1000, E=4985, 0.000226670 secs, 3314 edge scans, 73427 w comps, 6628 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 137.719887912

 Prim  : ba graph with V=1000, E=9945, 0.000179468 secs, 19890 edge scans, 8946 w comps, 0 uf ops, 4171 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 72.176488429
SCFcach(K=2): ba graph with V=1000, E=9945, 0.000241186 secs, 29248 edge scans, 49786 w comps, 0 uf ops, 1998 pq ops, 3557 component updates, 8026/22232 cache checks for best/worst, with MST weight 72.176488429
Boruvka: ba graph with V=1000, E=9945, 0.000278994 secs, 39780 edge scans, 62521 w comps, 82066 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 72.176488429
Kruskal: ba graph with V=1000, E=9945, 0.000466316 secs, 5122 edge scans, 158190 w comps, 10244 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 72.176488429

 Prim  : ba graph with V=1000, E=19790, 0.000228450 secs, 39580 edge scans, 18791 w comps, 0 uf ops, 4800 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 36.336028793
SCFcach(K=2): ba graph with V=1000, E=19790, 0.000262034 secs, 54822 edge scans, 102415 w comps, 0 uf ops, 1998 pq ops, 3518 component updates, 7788/48568 cache checks for best/worst, with MST weight 36.336028793
Boruvka: ba graph with V=1000, E=19790, 0.000334630 secs, 79160 edge scans, 138694 w comps, 160816 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 36.336028793
Kruskal: ba graph with V=1000, E=19790, 0.000987354 secs, 5493 edge scans, 342243 w comps, 10986 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 36.336028793

 Prim  : ba graph with V=1000, E=29535, 0.000270630 secs, 59070 edge scans, 28536 w comps, 0 uf ops, 5141 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 24.093229174
SCFcach(K=2): ba graph with V=1000, E=29535, 0.000289528 secs, 79123 edge scans, 151602 w comps, 0 uf ops, 1998 pq ops, 3618 component updates, 7882/73137 cache checks for best/worst, with MST weight 24.093229174
Boruvka: ba graph with V=1000, E=29535, 0.000438268 secs, 118140 edge scans, 217085 w comps, 238770 uf ops, 0 pq ops, 0 component updates, 0/0 cache checks for best/worst, with MST weight 24.093229174
